userName,score,at,content
Asep Rohendi,5,2023-08-13 22:47:15,pelayanan bagus
Mar'ie El,1,2023-08-13 22:44:37,"gak bisa masuk, padahal sedang dalam keadaan darurat parah nih gojek"
Q2CAR 555,5,2023-08-13 22:43:42,"yang terbaik gojek pokonya, drivernya sopan² lg..makasih sudah byk membantu selama ini"
Suroso Pinang,5,2023-08-13 22:38:14,Luar biasa
bahrul huda,5,2023-08-13 22:32:03,👍👍👍👍👍
Die Bdg,5,2023-08-13 22:26:27,Ok
Wahidah Ida,1,2023-08-13 22:21:06,"Aplikasi gopaypinjam gak bisa terbuka padahal udah jatuh tempo,,pasti denda kita byar,,,yg rugi siapa"
Unjuik Unjuik,1,2023-08-13 22:17:44,Muaaaaannntaaaaabbb
Muhammad Ridwan,5,2023-08-13 22:12:28,Lumayan cukup
afdolaputri muslim,1,2023-08-13 22:11:09,"Jujur gojek semakin ndk bersahabat, dan promo ngk ada ynag bersahabat, semakin ribet"
Salman Faris,5,2023-08-13 22:05:37,Oke
Agung Handani,5,2023-08-13 22:03:20,Sangat bagus
Jul Frendi,1,2023-08-13 21:50:27,Dengan tidak senang hati 10x pemesanan tidak ada sama sekali goride menerima
Ridwan Nur,2,2023-08-13 21:39:09,Bintang 2 dulu min sorry banget Soalnya gopaylatter gw gak bisa dipake Padahal buat bayar listrik dll jadi ngeribetin
herbet munthe,1,2023-08-13 21:39:01,lma bgst
Adhitya Setiawan_10,5,2023-08-13 21:28:13,Good
asiah nurdin,5,2023-08-13 21:27:34,Promonya bagus bagua
Muhammad Julianto,1,2023-08-13 21:26:52,Pelayanan cs dan system buruk tidak bisa di edit untuk dimasukkan promo voucher
Ucok Alianwar,5,2023-08-13 21:22:20,Mantap
GENPES TV,5,2023-08-13 21:20:14,Mantap
cahyo vlog,1,2023-08-13 21:15:15,kenapa aplikasi goojek costumer susah sekali dibuka .. lalod ya sekali.. padahal saya mau pesan makanan .. 😢😢
Budi Setiawan,2,2023-08-13 20:59:28,Gimana si dh donlod sampe 3 kali gk bisa di instal tolong di perbaiki
Amoy Syng,1,2023-08-13 20:57:13,"Jangan pake aplikasi gojek ini, masa iya top up gopay suruh nunggu 2 hari baru di proses! Mending pakai ovo ajh gausah pakai gopay! Sebelumnya saya top up hanya proses 5 mnt. Masa ini suruh nunggu 2 hari untuk proses top up saya tidak masuk akal sama sekali! Nyesel saya top up gopay yg prosesnya begitu lama! Pantes banyak sekali yang kasih ranting jelek! Orang kerja nya kaya gini"
Andeh Mahmeru,5,2023-08-13 20:57:03,"ramah ,,,,trimaksih, 🙏🙏"
Ekobae Gah,1,2023-08-13 20:53:09,Apa apaan ini semua aman cuma ini yg satu gua kesel upgrade data saya padahal udah pas ktp ada selfi udah tapi gak di trima² di tolakin terus udah berapa kali Baru pertama daftar data sendiri di tolak karna udah berapa kali padahal baru 😑😑
Susanti Sarah Dina Tambunan,3,2023-08-13 20:47:04,"Aplikasinya sulit di akses. Slalu sinyal aplikasinya buruk, padahal sinyal wifi saya kencang dan paket internet saya sinyalnya juga bagus. Mempersulit saya dalam memesan gojek ataupun gofood saat situasi penting/darurat. Padahal saya sudah cukup lumayan lama memakai jasa aplikasi gojek untuk sebagai alat transportasi dan pembelian makanan. Semoga lebih di tingkatkan lagi 🙏."
Haris nurul iman,1,2023-08-13 20:42:55,"Layanan lemot kayak kura2 , makanan keburu dingin udh beberapa kali , susah dapat driver"
Adrian Subito,5,2023-08-13 20:37:37,👍
Ade Ulfi,5,2023-08-13 20:34:09,banyak diskon 😊
Mega Arwanda,5,2023-08-13 20:31:43,Oke oke mantap bangettt. Daper driver yg sangat ramahh sekali. Mantap lancar rezekinya yaa untuk para driverr. Aplikasi ini sangat sangat memudahkannnn
Nur Nasihah,1,2023-08-13 20:24:23,Ini gopay kenapa ga bisa buat pembelian kuota telkomsel yah udah beberapa kali coba ga bisa
Siapa Raz,1,2023-08-13 20:23:29,Ini diskon error mulu napa dah pusing lama lama kalo ga ikhlas bikin diskon sekalian gabusa bikin cuma bikin orang marah aja
fakhrul imam,5,2023-08-13 20:17:46,Mudah digunakan
Raynaldi brahwijaya,5,2023-08-13 20:17:37,Keren
Agus Triyanto,5,2023-08-13 20:16:07,Promosi nya sangat menarik customer order
adam rusun,1,2023-08-13 20:05:55,"Entah yg salah siapa di tampilan posisi driver masih di restoran.ternyata sudah tiba di titik lokasi saya. Dan saya di suruh cepat"" sama si driver padahal saya sudah nunggu lumayan lama!!! Payahhh"
mr17yt,5,2023-08-13 20:04:00,Bagus
Beben Baenuri,5,2023-08-13 20:02:44,Is the best
Wahyu Tisnawati,5,2023-08-13 19:57:03,Suka sih..tp knp ya skrg dirasa rasa ongkir nya kok mahal sekali ya
andri sukmawan,1,2023-08-13 19:55:19,Hahahahaha
Wening Wijayanti,3,2023-08-13 19:53:50,Dari kemarin mau bayar tagihan di gopaypinjam diklik beberapa kali ga bisa muncul
putra indra pristian,1,2023-08-13 19:52:55,Gopek nya macam setan gk bisa di transfer padahal darurat
sri bintoro,5,2023-08-13 19:48:54,Helpfull software ...Bro
Edward Christoper Purba Karo,5,2023-08-13 19:48:02,Terimakasih
Naila Mahsa,5,2023-08-13 19:44:52,Bgus
Zerin Angellyca Philia,1,2023-08-13 19:43:19,"jadi sering ke PlayStore, padahal udah update.. mau beli pulsa pakai gopay jadi susah bngt"
Novia Fitriani,5,2023-08-13 19:36:36,Membantu sekali. Mempermudah aktivitas
Aji Lesmana,5,2023-08-13 19:36:32,👍
Khakim Jtm,1,2023-08-13 19:35:40,Jelek jadi tambah ribet gak semudah dana
Dian Sinyo,5,2023-08-13 19:26:16,Sangat membantu
Joko prayiton,4,2023-08-13 19:21:17,"Untuk gopay lapter penambahan limitya kok susah amatya masak cuma kesalahan tgl lahir aja ga,bisa dilanjut lagi!."
Anis Tias,1,2023-08-13 19:15:34,"kek babi aplikasinya, update KTP gabisa bisa, mana promo dibatalin terus mang anying ni aplikasi"
